安徽省 (Ānhuī Shěng);CN-AH
北京市 (Běijīng Shì);CN-BJ
重庆市 (Chóngqìng Shì);CN-CQ
福建省 (Fújiàn Shěng);CN-FJ
广东省 (Guǎngdōng Shěng);CN-GD
甘肃省 (Gānsù Shěng);CN-GS
广西壮族自治区 (Guǎngxī Zhuàngzú Zìzhìqū);CN-GX
贵州省 (Guìzhōu Shěng);CN-GZ
河南省 (Hénán Shěng);CN-HA
湖北省 (Húběi Shěng);CN-HB
河北省 (Héběi Shěng);CN-HE
海南省 (Hǎinán Shěng);CN-HI
香港特别行政区 (Xiānggǎng Tèbiéxíngzhèngqū);CN-HK
黑龙江省 (Hēilóngjiāng Shěng);CN-HL
湖南省 (Húnán Shěng);CN-HN
吉林省 (Jílín Shěng);CN-JL
江苏省 (Jiāngsū Shěng);CN-JS
江西省 (Jiāngxī Shěng);CN-JX
辽宁省 (Liáoníng Shěng);CN-LN
澳门特别行政区 (Àomén Tèbiéxíngzhèngqū);CN-MO
内蒙古自治区 (Nèi Ménggǔ Zìzhìqū);CN-NM
宁夏回族自治区 (Níngxià Huízú Zìzhìqū);CN-NX
青海省 (Qīnghǎi Shěng);CN-QH
四川省 (Sìchuān Shěng);CN-SC
山东省 (Shāndōng Shěng);CN-SD
上海市 (Shànghǎi Shì);CN-SH
陕西省 (Shǎnxī Shěng);CN-SN
山西省 (Shānxī Shěng);CN-SX
天津市 (Tiānjīn Shì);CN-TJ
台湾省 (Táiwān Shěng);CN-TW
新疆维吾尔自治区 (Xīnjiāng Wéiwú'ěr Zìzhìqū);CN-XJ
西藏自治区 (Xīzàng Zìzhìqū);CN-XZ
云南省 (Yúnnán Shěng);CN-YN
浙江省 (Zhèjiāng Shěng);CN-ZJ
