Aichi;AICHI-KEN
Akita;AKITA-KEN
Aomori;AOMORI-KEN
Chiba;CHIBA-KEN
Ehime;EHIME-KEN
Fukui;FUKUI-KEN
Fukuoka;FUKUOKA-KEN
Fukushima;FUKUSHIMA-KEN
Gifu;GIFU-KEN
Gunma;GUNMA-KEN
Hiroshima;HIROSHIMA-KEN
Hokkaido;HOKKAIDO
Hyogo;HYOGO-KEN
Ibaraki;IBARAKI-KEN
Ishikawa;ISHIKAWA-KEN
Iwate;IWATE-KEN
Kagawa;KAGAWA-KEN
Kagoshima;KAGOSHIMA-KEN
Kanagawa;KANAGAWA-KEN
Kochi;KOCHI-KEN
Kumamoto;KUMAMOTO-KEN
Kyoto;KYOTO-FU
Mie;MIE-KEN
Miyagi;MIYAGI-KEN
Miyazaki;MIYAZAKI-KEN
Nagano;NAGANO-KEN
Nagasaki;NAGASAKI-KEN
Nara;NARA-KEN
Niigata;NIIGATA-KEN
Oita;OITA-KEN
Okayama;OKAYAMA-KEN
Okinawa;OKINAWA-KEN
Osaka;OSAKA-FU
Saga;SAGA-KEN
Saitama;SAITAMA-KEN
Shiga;SHIGA-KEN
Shimane;SHIMANE-KEN
Shizuoka;SHIZUOKA-KEN
Tochigi;TOCHIGI-KEN
Tokushima;TOKUSHIMA-KEN
Tokyo;TOKYO-TO
Tottori;TOTTORI-KEN
Toyama;TOYAMA-KEN
Wakayama;WAKAYAMA-KEN
Yamagata;YAMAGATA-KEN
Yamaguchi;YAMAGUCHI-KEN
Yamanashi;YAMANASHI-KEN
