Aguascalientes;AGS
Baja California;BC
Baja California Sur;BCS
Campeche;CAMP
Chiapas;CHIS
Chihuahua;CHIH
Ciudad de México;CDMX
Coahuila;COAH
Colima;COL
Distrito Federal;DF
Durango;DGO
Estado de México;MEX
Guanajuato;GTO
Guerrero;GRO
Hidalgo;HGO
Jalisco;JAL
Michoacán;MICH
Morelos;MOR
Nayarit;NAY
Nuevo León;NL
Oaxaca;OAX
Puebla;PUE
Querétaro;QRO
Quintana Roo;Q ROO
San Luis Potosí;SLP
Sinaloa;SIN
Sonora;SON
Tabasco;TAB
Tamaulipas;TAMPS
Tlaxcala;TLAX
Veracruz;VER
Yucatán;YUC
Zacatecas;ZAC
